law,mineral,Aa,Ea,n_acid,An_or_Ac,En_or_Eac,Ab_or_Kc,Eb,nb,sigma
silicate,Albite,0.7,58000,0.3,2.05e-1,60000,1.5e-5,50000,-0.3,3
silicate,Albite_high,0.7,58000,0.3,2.05e-1,60000,1.5e-5,50000,-0.3,3
silicate,Albite_low,0.7,58000,0.3,2.05e-1,60000,1.5e-5,50000,-0.3,3
silicate,Almandine,2.0e5,60000,1,2.31e-4,43200,6.0e-8,42300,-0.4,3
silicate,Analcime,5.0e7,63000,1,1.0e-1,58500,7.5e-5,58000,-0.4,2.04
silicate,Andalusite,0.39,60000,0.15,8.0e-3,43200,8.8e-15,42300,-1.2,1
silicate,Andradite,2.6e5,60000,1,3.2e-4,43200,0,0,0,3
silicate,Anglesite,5.0e-2,26000,0.11,0,0,2e-14,26000,-1.0,1
silicate,Anhydrite,5.30e3,37700,0.11,0,0,0,0,0,1
silicate,Annite,5.90e-7,18200,0.5,5e-9,22000,4e-10,25500,-0.16,3
silicate,Anorthite,9.82e4,58000,1.22,1.5E-1,60000,1.5E-5,50000,-0.35,2
silicate,Anthophyllite,5.7e-4,52000,0.42,5.0e-6,48000,0,0,0,8
silicate,Antigorite,2.8e-6,27000,0.25,2.0e-8,27000,0,0,0,2
silicate,Barite,2.5e-3,26000,0.11,0,0,0,0,0,1
silicate,Beidellite-Ca,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,4
silicate,Beidellite-Fe,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Beidellite-K,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Beidellite-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Beidellite-Na,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Boehmite,2.85,60000,1.0,4.2e-3,60000,5.4e-11,60000,-1,1
silicate,Brucite,1.2e4,60000,0.19,0,0,0,0,0,1
silicate,Celestite,3.8e-2,24000,0.11,0,0,0,0,0,1
silicate,Chabazite-Ca,0.221,33700,0.82,1.56e-4,44200,4.94e-5,44200,-0.2,4
silicate,Chabazite-Na,0.221,33700,0.82,1.56e-4,44200,4.94e-5,44200,-0.2,4
silicate,Chalcedony,4.563e-4,41610,0.309,0,0,0.0353,73000,-0.41,1
silicate,Chamosite,1.5e-4,30000,0.74,4.7e-11,15000,2.0e-12,15000,-0.19,3
silicate,Chrysotile,2.8e-6,27000,0.25,2.0e-8,27000,0,0,0,2
silicate,Clinochlore-14A,1.5e-4,30000,0.74,4.7e-11,15000,2.0e-12,15000,-0.19,3
silicate,Clinochlore-7A,1.5e-4,30000,0.74,4.7e-11,15000,2.0e-12,15000,-0.19,3
silicate,Clinoptilolite-Ca,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,15
silicate,Clinoptilolite-Na,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,15
silicate,Cristobalite(alpha),4.03e-4,45600,0.309,0,0,0.105,80000,-0.41,1
silicate,Cristobalite(beta),4.03e-4,45600,0.309,0,0,0.105,80000,-0.41,1
silicate,Daphnite-14A,1.5e-4,30000,0.74,4.7e-11,15000,2.0e-12,15000,-0.19,3
silicate,Daphnite-7A,1.5e-4,30000,0.74,4.7e-11,15000,2.0e-12,15000,-0.19,3
silicate,Diaspore,2.85,60000,1.0,4.2e-3,60000,5.4e-11,60000,-1.0,1
silicate,Diopside,8.55e-5,32654,0.25,4.30e-4,43866,0,0,0,2
silicate,Enstatite,0.574,46080,0.5,6252,89538,0,0,0,1
silicate,Epidote,1.09,60000,0.30,5.13e-5,43200,1.40e-9,42300,-0.4,3
silicate,Epidote-ord,1.14e1,60000,0.56,5.13e-5,43200,1.40e-9,42300,-0.4,3
silicate,Fayalite,1.20e6,70400,0.44,0,0,1.91e3,60900,0.22,1
silicate,Ferroactinolite,3.0e-3,50000,0.22,2.0e-5,48000,0,0,0,8
silicate,Fluorapatite,80,43000,0.8,0,0,3e-2,43000,0.2,5
silicate,Fluorite,1.2e6,75000,0.12,0,0,0,0,0,1
silicate,Forsterite,14.8e4,70400,0.44,0,0,220,60900,0.22,1
silicate,Gibbsite,20.0,60000,1.0,3.0e-2,60000,3.0e-10,60000,-1.0,1
silicate,Grossular,2.0e5,60000,1,2.31e-4,43200,6.0e-8,42300,-0.4,3
silicate,Gypsum,1.8e4,37700,0.11,0,0,0,0,0,1
silicate,Halite,0,0,0,3.3e-4,-22340,0,0,0,1
silicate,Heulandite-Ca,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,7
silicate,Heulandite-Na,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,7
silicate,Hydroxyapatite,80,43000,0.8,0,0,3e-2,43000,0.2,5
silicate,Illite,7.3e-4,50000,0.55,3.84e-3,70000,6.0e-8,74000,-0.6,3.5
silicate,Jadeite,25,46080,0.5,2.70e5,89538,0,0,0,2
silicate,K-Feldspar,0.05,51700,0.45,1.08e-2,60000,1.2e-10,62195,-0.75,3
silicate,Kaolinite,2.85,73000,0.45,4.15e-3,67000,2.40e-11,61000,-0.76,2
silicate,Kyanite,0.115,60000,0.15,1e-3,43200,1.5e-13,50000,-1,1
silicate,Larnite,5.25e8,70400,0.4,0,0,8.25e5,60900,0.2,1
silicate,Laumontite,0.221,33700,0.82,1.56e-4,44200,4.94e-5,44200,-0.2,4
silicate,Leonhardite,0.221,33700,0.82,1.56e-4,44200,4.94e-5,44200,-0.2,4
silicate,Lizardite,2.8e-6,27000,0.25,2.0e-8,27000,0,0,0,2
silicate,Maximum_Microcline,0.05,51700,0.45,1.08e-2,60000,1.2e-10,62195,-0.75,3
silicate,Mesolite,1.97,33700,0.82,1.11e-3,44200,5.54e-4,44200,-0.2,3
silicate,Monazite-Ce,1.0e-4,43000,0.7,1.0e-7,43000,1.2e-11,43000,-0.5,1
silicate,Montmor-Ca,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,4
silicate,Montmor-K,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,4
silicate,Montmor-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,4
silicate,Mordenite-Ca,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,5
silicate,Mordenite-Na,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,5
silicate,Muscovite,1.26e-4,41311,0.37,6.31e-6,39301,3.16e-5,56950,-0.22,3
silicate,Natrolite,1.97,33700,0.82,1.11e-3,44200,5.54e-4,44200,-0.2,3
silicate,Nepheline,5e7,63000,1.0,0.1,58500,7.5e-5,58000,-0.4,1
silicate,Nontronite-Ca,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Nontronite-K,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Nontronite-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Nontronite-Na,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Paragonite,7.3e-4,50000,0.55,3.84e-3,70000,6.0e-8,74000,-0.6,3
silicate,Pargasite,3.0e-3,50000,0.2,2.0e-5,48000,0,0,0,6
silicate,Periclase,1.2e4,60000,0.19,0,0,0,0,0,1
silicate,Phlogopite,5.90e-7,18200,0.5,5e-9,22000,4e-10,25500,-0.16,3
silicate,Prehnite,1.30e3,77000,0.35,1.0,80000,1.53e1,80000,-0.075,3
silicate,Pyromorphite,58,43000,0.68,0,0,0,0,0,5
silicate,Pyrophyllite,1.60e4,73000,0.7,1.5e-1,67000,2.0e-8,61000,-0.7,4
silicate,Quartz,4.03e-4,45600,0.309,0,0,0.105,80000,-0.41,1
silicate,Sanidine_high,0.05,51700,0.45,1.08e-2,60000,1.2e-10,62195,-0.75,3
silicate,Saponite-Fe-Ca,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Fe-Fe,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Fe-K,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Fe-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Fe-Na,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Mg-Ca,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Mg-Fe,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Mg-K,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Mg-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Saponite-Mg-Na,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.65
silicate,Scolecite,1.97,33700,0.82,1.11e-3,44200,5.54e-4,44200,-0.2,3
silicate,Sepiolite,5.89e-3,50200,0.248,8.0e-7,40700,0,0,0,6
silicate,SiO2(am),4.563e-4,41610,0.309,0,0,0.0353,73000,-0.41,1
silicate,Smectite-high-Fe-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.5
silicate,Smectite-low-Fe-Mg,1.66e-3,50798,0.55,9.0e-10,30000,1.5e-9,48000,-0.3,3.75
silicate,Spodumene,490,46080,0.5,5.40e6,89538,0,0,0,2
silicate,Stilbite,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,3.75
silicate,Stilbite-Ca,2.48e-2,33700,0.82,1.39e-5,44200,3.5e-6,44200,-0.2,3
silicate,Talc,0.004424914,50200,0.36,1.56e-6,40700,0,0,0,4
silicate,Thomsonite,1.97,33700,0.82,1.11e-3,44200,5.54e-4,44200,-0.2,5
silicate,Tremolite,3.0e-3,50000,0.22,2.0e-5,48000,0,0,0,8
silicate,Variscite,5.0e-4,43000,0.3,0,0,2.4e-7,43000,-0.3,1
silicate,Wollastonite,700,56000,0.4,0,0,200,52000,0.15,1
silicate,Zoisite,1.09,60000,0.30,5.13e-5,43200,1.40e-9,42300,-0.4,3
carbonate,Aragonite,11.025,16000,1,122.5,48000,160,,,1
carbonate,Calcite,5.625,16000,1,62.5,48000,160,,,1
carbonate,Cerussite,2.55,16000,1,45.45,48000,160,,,1
carbonate,Dawsonite,1.6e5,55000,1,0.3,55000,0,,,1
carbonate,Dolomite,1.2e-3,10000,0.5,650,65000,5000,,,1.9
carbonate,Gaspeite,2.6e-6,16000,0.55,6.73e-3,48000,1000,,,3.73
carbonate,Magnesite,5e-4,16000,0.66,2.7e-2,45000,380,,,3.94
carbonate,Otavite,1.02,16000,1,11.36,48000,160,,,1
carbonate,Rhodochrosite,2.28e-3,16000,0.5,0.4,48000,1000,,,4.65
carbonate,Siderite,2e-3,16000,0.7,0.2,48000,160,,,4
carbonate,Smithsonite,1.94,16000,1,8.89,48000,200,,,2
carbonate,Strontianite,2.2e-3,16000,1,2.44e-2,48000,240,,,1
carbonate,Witherite,35,16000,1,12,48000,60,,,1
